M,T,W,TR,F
6.92,5.74,5.71,5.79,5.74
6.95,5.74,5.71,5.74,5.74
6.95,5.77,5.71,5.74,5.74
6.92,5.77,5.77,5.74,5.71
6.92,5.77,5.77,5.77,5.77
6.95,5.77,5.77,5.74,5.71
6.92,5.77,5.74,5.79,5.77
6.92,5.71,5.74,5.74,5.77
6.98,5.77,5.77,5.71,5.77
6.95,5.74,5.74,5.77,5.77
6.92,5.74,5.77,5.71,5.74
6.92,5.77,5.77,5.71,5.68
6.87,5.77,5.74,5.71,5.68
6.92,5.77,5.74,5.71,5.77
6.95,5.77,5.74,5.79,5.74
6.92,5.74,5.77,5.74,5.71
6.92,5.74,5.74,5.74,5.79
6.9,5.74,5.71,5.74,5.71
6.9,5.77,5.74,5.77,5.74
6.9,5.71,5.71,5.74,5.77
6.92,5.74,5.74,5.74,5.68
6.92,5.77,5.77,5.77,5.74
6.92,5.74,5.77,5.74,5.79
6.9,5.71,5.71,5.74,5.79
6.92,5.74,5.74,5.74,5.77
6.95,5.74,5.74,5.79,5.71
6.92,5.71,5.74,5.74,5.74
6.9,5.74,5.79,5.77,5.74
6.92,5.77,5.79,5.79,5.74
6.92,5.77,5.77,5.79,5.68
6.92,5.79,5.77,5.74,5.71
6.9,5.71,5.74,5.74,5.71
6.92,5.74,5.74,5.79,5.71
6.9,5.77,5.74,5.77,5.71
6.92,5.74,5.77,5.74,5.71
6.9,5.74,5.71,5.77,5.74
6.92,5.74,5.74,5.77,5.77
6.92,5.74,5.77,5.71,5.71
6.92,5.74,5.74,5.74,5.71
6.95,5.77,5.74,5.79,5.68
6.92,5.71,5.74,5.77,5.77
6.9,5.74,5.74,5.71,5.71
6.9,5.77,5.74,5.71,5.77
6.92,5.74,5.74,5.77,5.77
6.92,5.74,5.74,5.71,5.74
6.92,5.71,5.71,5.71,5.74
6.9,5.74,5.71,5.71,5.74
6.9,5.71,5.74,5.77,5.77
6.92,5.74,5.68,5.74,5.77
6.92,5.77,5.77,5.77,5.77
6.92,5.74,5.77,5.74,5.71
6.92,5.74,5.74,5.71,5.71
6.98,5.77,5.74,5.74,5.79
6.92,5.77,5.77,5.77,5.71
6.95,5.71,5.77,5.71,5.74
6.92,5.77,5.71,5.71,5.71
6.92,5.77,5.74,5.74,5.77
6.92,5.74,5.77,5.77,5.77
6.92,5.77,5.74,5.71,5.71
6.9,5.77,5.74,5.77,5.74
6.9,5.74,5.77,5.77,5.74
6.98,5.77,5.77,5.77,5.71
6.95,5.74,5.74,5.71,5.74
6.92,5.77,5.74,5.74,5.77
6.92,5.74,5.71,5.77,5.74
6.9,5.74,5.77,5.68,5.74
6.95,5.74,5.74,5.74,5.77
6.9,5.79,5.79,5.71,5.77
6.9,5.74,5.74,5.71,5.74
6.9,5.74,5.74,5.77,5.74
6.95,5.77,5.74,5.71,5.79
6.92,5.77,5.77,5.74,5.71
6.92,5.77,5.77,5.77,5.77
6.95,5.74,5.74,5.74,5.71
6.95,5.74,5.77,5.77,5.71
6.95,5.77,5.71,5.77,5.77
6.92,5.77,5.74,5.74,5.71
6.95,5.74,5.77,5.74,5.71
6.92,5.79,5.77,5.77,5.74
6.92,5.74,5.74,5.79,5.71
6.92,5.79,5.77,5.74,5.74
6.92,5.77,5.71,5.74,5.71
6.92,5.74,5.74,5.77,5.74
6.98,5.74,5.77,5.74,5.74
6.92,5.77,5.79,5.74,5.74
6.92,5.77,5.77,5.74,5.77
6.95,5.77,5.77,5.71,5.74
6.95,5.74,5.79,5.77,5.74
6.95,5.74,5.74,5.77,5.77
6.4,5.74,5.74,5.74,5.74
6.43,5.77,5.74,5.74,5.68
6.4,5.71,5.77,5.74,5.68
6.43,5.74,5.79,5.71,5.77
6.43,5.74,5.77,5.74,5.71
6.43,5.77,5.74,5.77,5.71
6.43,5.71,5.77,5.71,5.74
6.43,5.74,5.74,5.77,5.77
6.43,5.71,5.77,5.79,5.77
6.4,5.71,5.74,5.74,5.71
6.4,5.71,5.74,5.77,5.77
6.4,5.77,5.77,5.74,5.79
6.46,5.77,5.74,5.77,5.74
6.43,5.77,5.74,5.77,5.74
6.43,5.74,5.74,5.74,5.77
6.4,5.77,5.77,5.77,5.74
6.43,5.74,5.77,5.77,5.77
6.4,5.77,5.79,5.74,5.74
6.43,5.74,5.74,5.74,5.71
6.43,5.74,5.71,5.77,5.77
6.43,5.77,5.77,5.74,5.71
6.43,5.74,5.71,5.74,5.77
6.4,5.74,5.74,5.74,5.77
6.43,5.74,5.74,5.74,5.71
6.46,5.74,5.77,5.71,5.74
6.43,5.79,5.77,5.74,5.71
6.43,5.71,5.74,5.77,5.77
6.43,5.77,5.74,5.74,5.74
6.4,5.74,5.79,5.77,5.74
6.43,5.74,5.77,5.77,5.77
6.46,5.77,5.77,5.74,5.77
6.43,5.71,5.77,5.71,5.71
6.43,5.74,5.71,5.74,5.79
6.43,5.74,5.77,5.71,5.68
6.43,5.77,5.79,5.77,5.77
6.46,5.74,5.77,5.71,5.77
6.46,5.74,5.79,5.74,5.77
6.43,5.77,5.74,5.71,5.77
6.37,5.77,5.74,5.74,5.77
6.46,5.71,5.74,5.77,5.71
6.43,5.77,5.74,5.77,5.77
6.43,5.74,5.71,5.74,5.74
6.43,5.74,5.74,5.71,5.77
6.4,5.77,5.77,5.77,5.77
6.4,5.77,5.77,5.71,5.74
6.46,5.79,5.77,5.77,5.74
6.43,5.77,5.77,5.74,5.74
6.4,5.77,5.71,5.77,5.74
6.43,5.79,5.77,5.79,5.74
6.4,5.77,5.77,5.74,5.77
6.4,5.74,5.74,5.74,5.74
6.43,5.71,5.74,5.79,5.74
6.4,5.77,5.71,5.77,5.71
6.4,5.77,5.77,5.77,5.77
6.46,5.77,5.74,5.77,5.77
6.46,5.74,5.74,5.77,5.71
6.4,5.74,5.79,5.71,5.77
6.4,5.74,5.77,5.77,5.68
6.43,5.74,5.74,5.74,5.74
6.43,5.71,5.82,5.77,5.79
6.43,5.71,5.79,5.68,5.74
6.46,5.74,5.74,5.74,5.68
6.43,5.71,5.74,5.79,5.77
6.43,5.74,5.74,5.79,5.74
6.4,5.74,5.79,5.74,5.77
6.4,5.74,5.74,5.74,5.71
6.43,5.68,5.77,5.77,5.71
6.4,5.77,5.79,5.74,5.71
6.43,5.71,5.77,5.79,5.74
6.4,5.74,5.71,5.71,5.77
6.43,5.77,5.77,5.71,5.74
6.4,5.71,5.74,5.77,5.77
6.48,5.77,5.79,5.71,5.74
6.4,5.77,5.74,5.77,5.77
6.46,5.74,5.74,5.77,5.74
6.43,5.77,5.74,5.74,5.77
6.4,5.77,5.74,5.74,5.71
6.43,5.74,5.77,5.74,5.77
6.43,5.74,5.74,5.71,5.68
6.4,5.74,5.74,5.71,5.77
6.43,5.74,5.74,5.74,5.71
6.4,5.77,5.71,5.77,5.71
6.37,5.74,5.74,5.77,5.74
6.4,5.74,5.77,5.71,5.74
6.43,5.71,5.74,5.74,5.74
6.43,5.74,5.77,5.74,5.74
6.37,5.77,5.77,5.74,5.71
6.46,5.74,5.74,5.74,5.74
6.4,5.77,5.74,5.79,5.74
6.4,5.77,5.77,5.71,5.77
6.43,5.74,5.74,5.77,5.74
6.43,5.77,5.77,5.74,5.71
6.46,5.77,5.74,5.77,5.77
6.43,5.74,5.74,5.74,5.71
6.43,5.74,5.77,5.74,5.74
6.46,5.74,5.77,5.74,5.71
6.4,5.74,5.79,5.74,5.77
6.4,5.77,5.71,5.74,5.77
6.4,5.77,5.77,5.74,5.71
6.4,5.77,5.74,5.74,5.74
6.43,5.71,5.77,5.77,5.77
6.46,5.71,5.79,5.74,5.74
6.43,5.74,5.74,5.77,5.74
6.43,5.77,5.74,5.77,5.77
6.4,5.74,5.77,5.74,5.77
6.4,5.79,5.77,5.74,5.74
6.43,5.71,5.77,5.79,5.71
6.46,5.74,5.71,5.74,5.77
6.4,5.77,5.77,5.77,5.74
6.4,5.77,5.74,5.71,5.77
6.4,5.71,5.79,5.74,5.74
6.4,5.74,5.71,5.77,5.71
6.4,5.74,5.77,5.74,5.74
6.4,5.71,5.71,5.77,5.74
6.46,5.79,5.74,5.74,5.77
6.43,5.77,5.74,5.77,5.77
6.4,5.77,5.77,5.77,5.79
6.43,5.74,5.77,5.77,5.68
6.43,5.77,5.74,5.74,5.74
6.37,5.74,5.74,5.74,5.71
6.43,5.74,5.74,5.74,5.71
6.46,5.71,5.77,5.71,5.77
6.4,5.77,5.77,5.74,5.71
6.4,5.77,5.74,5.79,5.74
6.46,5.74,5.77,5.77,5.77
6.43,5.77,5.74,5.71,5.68
6.4,5.77,5.71,5.71,5.71
6.4,5.77,5.77,5.74,5.74
6.4,5.74,5.77,5.71,5.71
6.43,5.71,5.77,5.77,5.77
6.43,5.74,5.77,5.74,5.77
6.43,5.74,5.71,5.77,5.77
6.43,5.77,5.74,5.71,5.74
6.43,5.77,5.77,5.74,5.74
6.4,5.79,5.77,5.74,5.77
6.46,5.74,5.77,5.74,5.74
6.43,5.74,5.71,5.77,5.74
6.43,5.74,5.74,5.77,5.79
6.4,5.74,5.77,5.71,5.77
6.43,5.77,5.79,5.71,5.71
6.43,5.74,5.74,5.74,5.74
6.43,5.74,5.77,5.71,5.77
6.43,5.79,5.74,5.77,5.74
6.46,5.77,5.74,5.77,5.79
6.4,5.77,5.74,5.74,5.74
6.43,5.77,5.74,5.74,5.74
6.43,5.74,5.74,5.71,5.74
6.46,5.74,5.77,5.71,5.77
6.4,5.77,5.71,5.74,5.77
6.43,5.77,5.77,5.77,5.77
6.43,5.74,5.77,5.71,5.77
6.43,5.71,5.77,5.71,5.74
6.4,5.79,5.71,5.77,5.71
6.4,5.71,5.77,5.71,5.71
6.43,5.71,5.77,5.79,5.71
6.46,5.77,5.74,5.74,5.74
6.46,5.74,5.77,5.74,5.74
6.4,5.74,5.74,5.77,5.74
6.4,5.77,5.77,5.74,5.77
6.43,5.74,5.77,5.74,5.71
6.43,5.77,5.71,5.74,5.77
6.43,5.74,5.71,5.74,5.74
6.4,5.77,5.74,5.71,5.71
6.43,5.77,5.77,5.77,5.77
6.43,5.74,5.77,5.77,5.74
6.4,5.77,5.74,5.74,5.74
6.43,5.79,5.77,5.71,5.77
6.43,5.79,5.71,5.68,5.74
6.43,5.77,5.71,5.77,5.74
6.46,5.74,5.71,5.74,5.74
6.46,5.71,5.74,5.77,5.77
6.4,5.74,5.79,5.79,5.74
6.4,5.74,5.77,5.74,5.74
6.46,5.74,5.79,5.74,5.71
6.46,5.74,5.74,5.77,5.74
6.46,5.74,5.77,5.71,5.74
6.43,5.77,5.77,5.74,5.74
6.46,5.74,5.77,5.74,5.74
6.43,5.77,5.79,5.79,5.71
6.4,5.77,5.77,5.74,5.79
6.43,5.77,5.74,5.77,5.74
6.43,5.79,5.79,5.74,5.71
6.4,5.77,5.74,5.79,5.77
6.43,5.77,5.74,5.77,5.77
6.48,5.74,5.74,5.77,5.77
6.43,5.74,5.74,5.71,5.71
6.43,5.77,5.77,5.71,5.79
6.37,5.77,5.74,5.74,5.74
6.48,5.77,5.71,5.74,5.77
6.4,5.77,5.77,5.77,5.77
6.43,5.77,5.77,5.79,5.74
6.46,5.74,5.77,5.71,5.77
6.43,5.77,5.74,5.71,5.74
6.57,5.77,5.74,5.74,5.71
6.51,5.74,5.77,5.74,5.74
6.51,5.77,5.79,5.77,5.74
6.54,5.74,5.77,5.77,5.77
6.59,5.74,5.77,5.77,5.74
6.57,5.77,5.74,5.71,5.74
6.54,5.74,5.79,5.79,5.77
6.57,5.77,5.74,5.71,5.77
6.59,5.74,5.74,5.77,5.77
6.57,5.74,5.77,5.79,5.77
6.54,5.74,5.71,5.71,5.77
6.54,5.79,5.68,5.74,5.74
6.54,5.77,5.74,5.79,5.77
6.59,5.71,5.71,5.77,5.77
6.57,5.74,5.74,5.77,5.77
6.54,5.74,5.74,5.74,5.71
6.57,5.77,5.74,5.77,5.71
6.59,5.74,5.74,5.74,5.77
6.57,5.74,5.77,5.74,5.71
6.54,5.74,5.74,5.77,5.71
6.57,5.77,5.77,5.71,5.74
6.57,5.79,5.77,5.77,5.74
6.57,5.71,5.74,5.74,5.71
6.54,5.77,5.74,5.74,5.74
6.57,5.77,5.71,5.77,5.71
6.54,5.74,5.74,5.74,5.71
6.54,5.77,5.77,5.77,5.71
6.57,5.71,5.74,5.71,5.74
6.57,5.77,5.74,5.74,5.77
6.54,5.74,5.77,5.74,5.74
6.51,5.77,5.79,5.79,5.74
6.59,5.74,5.74,5.71,5.74
6.54,5.71,5.77,5.79,5.74
5.77,5.74,5.77,5.77,5.71
5.71,5.77,5.74,5.77,5.77
5.74,5.71,5.74,5.77,5.74
5.71,5.79,5.77,5.74,5.77
5.77,5.74,5.71,5.77,5.74
5.77,5.77,5.74,5.71,5.77
5.74,5.71,5.77,5.71,5.71
5.74,5.77,5.77,5.74,5.71
5.74,5.77,5.74,5.71,5.71
5.77,5.74,5.77,5.74,5.74
5.77,5.74,5.77,5.77,5.77
5.77,5.71,5.74,5.74,5.74
5.79,5.74,5.74,5.74,5.77
5.77,5.77,5.74,5.77,5.77
5.71,5.77,5.77,5.77,5.77
5.79,5.77,5.77,5.71,5.74
5.77,5.71,5.74,5.74,5.77
5.77,5.77,5.77,5.71,5.74
5.77,5.71,5.77,5.77,5.74
5.77,5.79,5.74,5.74,5.74
5.74,5.77,5.74,5.74,5.71
5.74,5.77,5.77,5.74,5.71
5.74,5.74,5.77,5.77,5.77
5.77,5.77,5.71,5.77,5.71
5.74,5.77,5.74,5.74,5.77
5.77,5.77,5.79,5.77,5.71
5.74,5.77,5.74,5.77,5.68
5.88,5.74,5.77,5.77,5.74
5.79,5.74,5.74,5.74,5.71
5.71,5.74,5.77,5.71,5.74
5.79,5.74,5.74,5.74,5.77
5.79,5.71,5.74,5.74,5.74
5.74,5.71,5.74,5.71,5.74
5.79,5.77,5.74,5.77,5.77
5.77,5.77,5.77,5.77,5.71
5.77,5.79,5.71,5.71,5.77
5.77,5.77,5.77,5.71,5.71
5.79,5.77,5.77,5.74,5.71
5.77,5.74,5.74,5.71,5.77
5.79,5.77,5.74,5.71,5.77
5.82,5.74,5.74,5.74,5.71
5.77,5.74,5.77,5.71,5.71
5.79,5.79,5.77,5.79,5.77
5.77,5.77,5.79,5.74,5.74
5.79,5.74,5.74,5.71,5.74
5.77,5.77,5.77,5.77,5.71
5.79,5.77,5.77,5.74,5.71
5.82,5.74,5.74,5.74,5.74
5.77,5.79,5.74,5.77,5.74
5.77,5.77,5.77,5.71,5.77
5.79,5.71,5.71,5.74,5.74
5.77,5.74,5.77,5.74,5.74
5.79,5.77,5.71,5.77,5.77
5.77,5.74,5.77,5.74,5.74
5.77,5.71,5.71,5.77,5.77
5.79,5.79,5.74,5.77,5.71
5.77,5.77,5.74,5.74,5.77
5.77,5.74,5.74,5.74,5.74
5.77,5.71,5.74,5.77,5.77
5.77,5.79,5.71,5.77,5.74
5.77,5.77,5.77,5.71,5.77
5.79,5.74,5.74,5.68,5.74
5.79,5.71,5.79,5.71,5.71
5.77,5.74,5.74,5.74,5.77
5.79,5.74,5.77,5.74,5.71
5.77,5.74,5.79,5.77,5.74
5.79,5.74,5.74,5.77,5.77
5.77,5.71,5.77,5.79,5.74
5.79,5.74,5.74,5.77,5.71
5.79,5.77,5.74,5.77,5.74
5.74,5.71,5.71,5.77,5.79
5.79,5.74,5.77,5.77,5.74
5.74,5.74,5.79,5.74,5.74
5.77,5.77,5.74,5.77,5.74
5.79,5.77,5.77,5.74,5.71
5.77,5.74,5.77,5.77,5.71
5.79,5.77,5.71,5.74,5.71
5.77,5.77,5.77,5.71,5.74
5.79,5.79,5.74,5.74,5.71
5.77,5.74,5.77,5.74,5.79
5.77,5.71,5.79,5.74,5.77
5.77,5.74,5.74,5.71,5.74
5.79,5.79,5.71,5.77,5.74
5.77,5.77,5.77,5.79,5.74
5.77,5.71,5.71,5.74,5.74
5.77,5.77,5.77,5.71,5.77
5.77,5.77,5.79,5.71,5.74
5.79,5.74,5.77,5.74,5.74
5.79,5.74,5.74,5.74,5.74
5.77,5.79,5.74,5.74,5.74
5.77,5.79,5.79,5.74,5.74
5.79,5.77,5.77,5.77,5.71
5.82,5.77,5.74,5.77,5.74
5.77,5.71,5.74,5.74,5.71
5.77,5.77,5.71,5.71,5.68
5.77,5.71,5.74,5.74,5.74
5.79,5.77,5.68,5.74,5.74
5.77,5.77,5.77,5.74,5.74
5.79,5.74,5.77,5.77,5.74
5.79,5.77,5.77,5.77,5.74
5.77,5.77,5.74,5.77,5.79
5.77,5.77,5.74,5.71,5.71
5.77,5.74,5.74,5.77,5.77
5.77,5.79,5.77,5.74,5.74
5.77,5.74,5.71,5.77,5.77
5.77,5.79,5.74,5.74,5.77
5.77,5.74,5.74,5.71,5.77
5.77,5.74,5.71,5.79,5.71
5.77,5.77,5.74,5.74,5.74
5.77,5.74,5.77,5.77,5.71
5.77,5.77,5.71,5.74,5.77
5.77,5.74,5.77,5.77,5.77
5.79,5.71,5.74,5.71,5.68
5.74,5.71,5.71,5.77,5.77
5.77,5.77,5.77,5.77,5.77
5.77,5.77,5.74,5.74,5.71
5.74,5.74,5.79,5.77,5.68
5.79,5.71,5.74,5.77,5.77
5.77,5.74,5.77,5.74,5.77
5.79,5.79,5.71,5.74,5.77
5.77,5.71,5.79,5.77,5.71
5.77,5.74,5.77,5.77,5.74
5.79,5.74,5.74,5.74,5.77
5.79,5.74,5.71,5.74,5.68
5.79,5.77,5.74,5.71,5.74
5.77,5.74,5.77,5.74,5.77
5.77,5.74,5.77,5.77,5.79
5.77,5.77,5.77,5.74,5.77
5.74,5.77,5.74,5.74,5.74
5.77,5.77,5.74,5.74,5.74
5.77,5.77,5.74,5.77,5.71
5.79,5.74,5.71,5.77,5.74
5.77,5.77,5.71,5.71,5.71
5.82,5.77,5.71,5.74,5.77
5.77,5.71,5.74,5.77,5.71
5.77,5.77,5.74,5.71,5.77
5.77,5.74,5.74,5.79,5.71
5.77,5.79,5.77,5.74,5.77
5.82,5.77,5.71,5.71,5.77
5.79,5.79,5.74,5.77,5.79
5.74,5.74,5.74,5.77,5.71
5.79,5.74,5.79,5.74,5.77
5.77,5.77,5.77,5.74,5.74
5.79,5.74,5.71,5.74,5.74
5.79,5.74,5.77,5.71,5.68
5.77,5.77,5.77,5.74,5.68
5.79,5.71,5.71,5.79,5.77
5.79,5.74,5.77,5.77,5.71
5.79,5.71,5.77,5.68,5.74
5.77,5.79,5.68,5.77,5.74
5.77,5.74,5.77,5.71,5.77
5.79,5.74,5.74,5.77,5.71
5.77,5.74,5.74,5.71,5.77
5.77,5.71,5.77,5.68,5.74
5.77,5.77,5.77,5.74,5.71
5.77,5.79,5.77,5.79,5.74
5.77,5.74,5.74,5.74,5.74
5.77,5.74,5.74,5.77,5.77
5.79,5.71,5.71,5.71,5.68
5.77,5.77,5.74,5.74,5.71
5.77,5.77,5.77,5.74,5.74
5.77,5.74,5.77,5.79,5.74
5.79,5.74,5.74,5.77,5.74
5.77,5.79,5.74,5.77,5.74
5.79,5.77,5.74,5.71,5.74
5.77,5.77,5.71,5.74,5.71
5.79,5.71,5.77,5.74,5.71
5.79,5.77,5.74,5.71,5.71
5.77,5.77,5.74,5.74,5.74
5.77,5.77,5.74,5.77,5.71
5.77,5.77,5.71,5.77,5.74
5.77,5.77,5.74,5.77,5.79
5.77,5.74,5.77,5.71,5.74
5.82,5.77,5.74,5.77,5.74
5.77,5.74,5.71,5.77,5.74
5.77,5.77,5.77,5.71,5.77
5.77,5.74,5.77,5.79,5.77
5.74,5.74,5.74,5.71,5.79
5.77,5.77,5.77,5.71,5.74
5.79,5.74,5.77,5.79,5.77
